price,bed,bath,sqft,acre_sqft_lot,address
"$1,195,000",4bed,3.5bath,"2,862sqft",5acre lot,"10130 LA Clair Rd, Wilton, CA 95693"
"$564,900",2bed,2.5bath,"2,230sqft","7,405sqft lot","40389 Calle Ebano, Indio, CA 92203"
"$599,999",3bed,2bath,"2,168sqft","8,712sqft lot","135 Hillside Pl, Jackson, CA 95642"
"$735,000",3bed,2bath,"1,583sqft","5,227sqft lot","54960 Avenida Rubio, La Quinta, CA 92253"
"$554,900",3bed,2.5bath,"2,617sqft","9,148sqft lot","22204 Tumbleweed Dr, Canyon Lake, CA 92587"
"$89,500",2bed,2bath,"1,040sqft",21.66acre lot,"13 Oakwood Dr Unit 13, Petaluma, CA 94954"
"$599,000",3bed,3.5bath,"2,606sqft",6.92acre lot,"30101 Dove Ct, Tehachapi, CA 93561"
"$320,000",1bed,1bath,968sqft,"4,620sqft lot","3764 Suter St, Oakland, CA 94619"
"$635,000",2bed,2bath,"1,000sqft","3,733sqft lot","734 Tommy Dorsey Ct, Windsor, CA 95492"
"$780,000",4bed,2.5bath,"2,697sqft","9,300sqft lot","11719 Melones Cir, Gold River, CA 95670"
"$835,000",4bed,3.5bath,"3,230sqft","7,444sqft lot","3544 Calm Breeze Ct, Vallejo, CA 94591"
"$495,000",3bed,2bath,"1,516sqft",0.85acre lot,"17652 Cindy Ln, Grass Valley, CA 95945"
"$2,100,000",3bed,2.5bath,"1,590sqft","8,276sqft lot","224 Loyola Dr, Santa Barbara, CA 93109"
"$295,000",2bed,2bath,"1,033sqft","4,929sqft lot","16178 Bridgewood Ln, Victorville, CA 92395"
"$319,000",3bed,2bath,"1,757sqft",0.32acre lot,"20800 Melville Dr, California City, CA 93505"
"$949,000",3bed,1.5bath,"1,803sqft","4,718sqft lot","1210 D St, Hayward, CA 94541"
"$979,000",4bed,2bath,"2,515sqft",1.34acre lot,"11805 Costalot Ln, Lakeside, CA 92040"
"$398,000",3bed,2bath,"1,315sqft","6,098sqft lot","477 S Maidstone St, Banning, CA 92220"
"$1,750,000",5bed,4bath,"2,781sqft",1.07acre lot,"20800 Pine Cone Cir, Porter Ranch, CA 91326"
